Modèle,AUC-ROC,Recall,Precision,F1-score,Coût métier
LightGBM Baseline,0.759204305977564,0.6823766364551863,0.17041396308032794,0.2727199549223215,-32263
LightGBM Optimisé,0.7601783676794905,0.019939577039274924,0.5963855421686747,0.03858896901188852,-48727
XGBoost Baseline,0.7582133888722703,0.6706948640483383,0.17217310376919498,0.27400641816835347,-32361
XGBoost Optimisé,0.7602176500493372,0.02014098690835851,0.5747126436781609,0.03891807744697412,-48724
